Year-Tm,Year,Tm,Lg,G,W,L,W-L%,#Bat,R/G-hit,PA-hit,AB-hit,R-hit,H-hit,2B-hit,3B-hit,HR-hit,RBI-hit,SB-hit,CS-hit,BB-hit,SO-hit,BA-hit,OBP-hit,SLG-hit,OPS-hit,TB-hit,GDP-hit,HBP-hit,SH-hit,SF-hit,IBB-hit,LOB-hit,OPS+-hit,ERA-pitch,CG-pitch,SHO-pitch,SV-pitch,IP-pitch,H-pitch,R-pitch,ER-pitch,HR-pitch,BB-pitch,IBB-pitch,SO-pitch,HBP-pitch,BK-pitch,WP-pitch,BF-pitch,WHIP-pitch,H9-pitch,HR9-pitch,BB9-pitch,SO9-pitch,SO/W-pitch,ERA+-pitch,Winner
2019PHI,2019,PHI,NL,162.0,81.0,81.0,0.5,56.0,4.78,6261.0,5571.0,774.0,1369.0,311.0,26.0,215.0,742.0,78.0,18.0,562.0,1453.0,0.24600000000000002,0.319,0.42700000000000005,0.746,2377.0,97.0,57.0,34.0,34.0,47.0,1129.0,92.0,4.53,3,1,36,1453.2,1452,794,732,258,546,38,1392,71,7,45,6274,1.374,9.0,1.6,3.4,8.6,2.55,98,False
2017WSN,2017,WSN,NL,162.0,97.0,65.0,0.599,49.0,5.06,6214.0,5553.0,819.0,1477.0,311.0,31.0,215.0,796.0,108.0,30.0,542.0,1327.0,0.266,0.332,0.449,0.782,2495.0,116.0,31.0,43.0,45.0,56.0,1101.0,99.0,3.88,3,1,46,1446.2,1300,672,624,189,495,39,1457,60,5,44,6068,1.2409999999999999,8.1,1.2,3.1,9.1,2.94,116,False
2016TEX,2016,TEX,AL,162.0,95.0,67.0,0.586,40.0,4.72,6089.0,5525.0,765.0,1446.0,257.0,23.0,215.0,746.0,99.0,36.0,436.0,1220.0,0.262,0.322,0.433,0.755,2394.0,114.0,70.0,18.0,40.0,23.0,1038.0,96.0,4.38,1,0,56,1443.0,1441,757,703,201,534,16,1154,53,5,45,6186,1.369,9.0,1.3,3.3,7.2,2.16,104,False
2018LAA,2018,LAA,AL,162.0,80.0,82.0,0.494,44.0,4.45,6108.0,5472.0,721.0,1323.0,249.0,23.0,214.0,690.0,89.0,22.0,514.0,1300.0,0.242,0.313,0.413,0.726,2260.0,111.0,73.0,7.0,39.0,38.0,1071.0,99.0,4.15,1,1,35,1437.1,1353,722,663,205,546,17,1386,65,3,87,6108,1.321,8.5,1.3,3.4,8.7,2.54,102,False
2012BAL,2012,BAL,AL,162.0,93.0,69.0,0.574,39.0,4.4,6160.0,5560.0,712.0,1375.0,270.0,16.0,214.0,677.0,58.0,29.0,480.0,1315.0,0.247,0.311,0.41700000000000004,0.728,2319.0,152.0,50.0,38.0,30.0,24.0,1027.0,97.0,3.9,1,1,55,1483.0,1433,705,642,184,481,36,1177,53,6,34,6278,1.291,8.7,1.1,2.9,7.1,2.45,109,False
2019BAL,2019,BAL,AL,162.0,54.0,108.0,0.33299999999999996,45.0,4.5,6189.0,5596.0,729.0,1379.0,252.0,25.0,213.0,698.0,84.0,30.0,462.0,1435.0,0.24600000000000002,0.31,0.415,0.725,2320.0,111.0,71.0,22.0,37.0,8.0,1063.0,92.0,5.67,0,0,27,1442.2,1544,981,909,305,561,11,1248,80,6,75,6396,1.459,9.6,1.9,3.5,7.8,2.22,83,False
2017CLE,2017,CLE,AL,162.0,102.0,60.0,0.63,36.0,5.05,6234.0,5511.0,818.0,1449.0,333.0,29.0,212.0,780.0,88.0,23.0,604.0,1153.0,0.263,0.33899999999999997,0.449,0.7879999999999999,2476.0,125.0,50.0,23.0,45.0,30.0,1158.0,104.0,3.3,7,3,37,1440.2,1267,564,529,163,406,15,1614,45,1,48,5866,1.161,7.9,1.0,2.5,10.1,3.98,138,False
2015NYY,2015,NYY,AL,162.0,87.0,75.0,0.537,49.0,4.72,6268.0,5567.0,764.0,1397.0,272.0,19.0,212.0,737.0,63.0,25.0,554.0,1227.0,0.251,0.32299999999999995,0.42100000000000004,0.7440000000000001,2343.0,105.0,63.0,24.0,54.0,23.0,1151.0,102.0,4.03,3,0,48,1457.2,1416,698,653,182,474,16,1370,56,4,78,6191,1.297,8.7,1.1,2.9,8.5,2.89,101,False
2013BAL,2013,BAL,AL,162.0,85.0,77.0,0.525,41.0,4.6,6144.0,5620.0,745.0,1460.0,298.0,14.0,212.0,719.0,79.0,29.0,416.0,1125.0,0.26,0.313,0.431,0.7440000000000001,2422.0,105.0,36.0,27.0,45.0,36.0,1053.0,101.0,4.2,2,1,57,1453.0,1438,709,678,202,473,32,1169,50,3,38,6144,1.315,8.9,1.3,2.9,7.2,2.47,98,False
2009BOS,2009,BOS,AL,162.0,95.0,67.0,0.586,43.0,5.38,6344.0,5543.0,872.0,1495.0,335.0,25.0,212.0,822.0,126.0,39.0,659.0,1120.0,0.27,0.35200000000000004,0.45399999999999996,0.8059999999999999,2516.0,137.0,70.0,19.0,51.0,39.0,1210.0,106.0,4.35,8,2,41,1436.2,1494,736,695,167,530,24,1230,68,5,42,6283,1.409,9.4,1.0,3.3,7.7,2.32,107,False
2001CLE,2001,CLE,AL,162.0,91.0,71.0,0.562,36.0,5.54,6357.0,5600.0,897.0,1559.0,294.0,37.0,212.0,868.0,79.0,41.0,577.0,1076.0,0.278,0.35,0.45799999999999996,0.807,2563.0,126.0,69.0,49.0,62.0,32.0,1136.0,111.0,4.65,3,0,42,1446.2,1512,821,747,148,573,44,1218,49,11,58,6312,1.4409999999999998,9.4,0.9,3.6,7.6,2.13,97,False
2016DET,2016,DET,AL,161.0,86.0,75.0,0.534,36.0,4.66,6127.0,5526.0,750.0,1476.0,252.0,30.0,211.0,719.0,58.0,29.0,493.0,1303.0,0.267,0.331,0.43799999999999994,0.769,2421.0,135.0,53.0,17.0,38.0,32.0,1105.0,106.0,4.24,3,1,47,1428.0,1417,721,673,182,462,25,1232,51,4,44,6048,1.3159999999999998,8.9,1.1,2.9,7.8,2.67,101,False
2014BAL,2014,BAL,AL,162.0,96.0,66.0,0.593,39.0,4.35,6130.0,5596.0,705.0,1434.0,264.0,16.0,211.0,681.0,44.0,20.0,401.0,1285.0,0.256,0.311,0.42200000000000004,0.7340000000000001,2363.0,112.0,62.0,35.0,36.0,29.0,1088.0,104.0,3.44,3,2,53,1461.1,1342,593,558,151,472,25,1174,59,2,42,6104,1.2409999999999999,8.3,0.9,2.9,7.2,2.49,115,False
2012CHW,2012,CHW,AL,162.0,85.0,77.0,0.525,35.0,4.62,6111.0,5518.0,748.0,1409.0,228.0,29.0,211.0,726.0,109.0,43.0,461.0,1203.0,0.255,0.318,0.42200000000000004,0.74,2328.0,112.0,65.0,31.0,36.0,24.0,1038.0,98.0,4.02,6,2,37,1445.2,1365,676,646,186,503,29,1246,68,9,66,6098,1.2919999999999998,8.5,1.2,3.1,7.8,2.48,106,False
2010BOS,2010,BOS,AL,162.0,89.0,73.0,0.5489999999999999,43.0,5.05,6356.0,5646.0,818.0,1511.0,358.0,22.0,211.0,782.0,68.0,17.0,587.0,1140.0,0.268,0.33899999999999997,0.451,0.79,2546.0,130.0,47.0,29.0,46.0,43.0,1200.0,109.0,4.2,3,1,44,1456.2,1402,744,679,152,580,30,1207,53,3,58,6267,1.361,8.7,0.9,3.6,7.5,2.08,104,False
2000LAD,2000,LAD,NL,162.0,86.0,76.0,0.531,46.0,4.93,6312.0,5481.0,798.0,1408.0,265.0,28.0,211.0,756.0,95.0,42.0,668.0,1083.0,0.257,0.341,0.431,0.7709999999999999,2362.0,129.0,51.0,66.0,46.0,42.0,1188.0,99.0,4.1,9,3,36,1445.0,1379,729,659,176,600,22,1154,75,6,60,6249,1.37,8.6,1.1,3.7,7.2,1.92,106,False
2019STL,2019,STL,NL,162.0,91.0,71.0,0.562,43.0,4.72,6167.0,5449.0,764.0,1336.0,246.0,24.0,210.0,714.0,116.0,29.0,561.0,1420.0,0.245,0.322,0.415,0.737,2260.0,110.0,76.0,40.0,39.0,15.0,1107.0,95.0,3.82,1,1,52,1444.1,1284,662,613,191,545,41,1399,69,4,46,6068,1.266,8.0,1.2,3.4,8.7,2.57,110,False
2018COL,2018,COL,NL,163.0,91.0,72.0,0.5579999999999999,41.0,4.79,6178.0,5541.0,780.0,1418.0,280.0,42.0,210.0,748.0,95.0,33.0,507.0,1397.0,0.256,0.322,0.435,0.757,2412.0,114.0,51.0,42.0,37.0,38.0,1067.0,90.0,4.33,0,0,51,1452.1,1377,745,699,184,525,24,1409,52,8,70,6154,1.31,8.5,1.1,3.3,8.7,2.68,109,False
2011TEX,2011,TEX,AL,162.0,96.0,66.0,0.593,33.0,5.28,6261.0,5659.0,855.0,1599.0,310.0,32.0,210.0,807.0,143.0,45.0,475.0,930.0,0.28300000000000003,0.34,0.46,0.8,2603.0,135.0,39.0,39.0,49.0,35.0,1126.0,110.0,3.79,10,7,38,1441.1,1327,677,607,170,461,21,1179,46,6,43,6021,1.2409999999999999,8.3,1.1,2.9,7.4,2.56,117,False
2009TOR,2009,TOR,AL,162.0,75.0,87.0,0.46299999999999997,36.0,4.93,6362.0,5696.0,798.0,1516.0,339.0,13.0,209.0,766.0,73.0,23.0,548.0,1028.0,0.266,0.33299999999999996,0.44,0.773,2508.0,130.0,45.0,24.0,49.0,23.0,1195.0,102.0,4.46,10,4,25,1451.1,1509,771,720,181,551,26,1181,58,4,43,6281,1.419,9.4,1.1,3.4,7.3,2.14,100,False
2018BOS,2018,BOS,AL,162.0,108.0,54.0,0.667,40.0,5.41,6302.0,5623.0,876.0,1509.0,355.0,31.0,208.0,829.0,125.0,31.0,569.0,1253.0,0.268,0.33899999999999997,0.45299999999999996,0.792,2550.0,130.0,55.0,7.0,48.0,38.0,1124.0,112.0,3.75,2,0,46,1458.2,1305,647,608,176,512,8,1558,84,3,51,6166,1.246,8.1,1.1,3.2,9.6,3.04,118,False
2016BOS,2016,BOS,AL,162.0,93.0,69.0,0.574,43.0,5.42,6320.0,5670.0,878.0,1598.0,343.0,25.0,208.0,836.0,83.0,24.0,558.0,1160.0,0.282,0.348,0.461,0.81,2615.0,137.0,43.0,8.0,40.0,34.0,1162.0,112.0,4.0,9,1,43,1440.0,1342,694,640,176,490,16,1362,65,0,52,6073,1.272,8.4,1.1,3.1,8.5,2.78,112,False
2001ARI,2001,ARI,NL,162.0,92.0,70.0,0.568,47.0,5.05,6349.0,5595.0,818.0,1494.0,284.0,35.0,208.0,776.0,71.0,38.0,587.0,1052.0,0.267,0.341,0.442,0.7829999999999999,2472.0,105.0,57.0,71.0,36.0,73.0,1183.0,94.0,3.88,12,5,34,1459.2,1352,677,629,195,461,30,1297,59,6,45,6090,1.242,8.3,1.2,2.8,8.0,2.81,121,False
2001HOU,2001,HOU,NL,162.0,93.0,69.0,0.574,45.0,5.23,6325.0,5528.0,847.0,1500.0,313.0,29.0,208.0,805.0,64.0,49.0,581.0,1119.0,0.271,0.34700000000000003,0.451,0.7979999999999999,2495.0,128.0,89.0,71.0,56.0,52.0,1151.0,100.0,4.39,7,1,48,1454.2,1453,769,709,221,486,22,1228,70,3,42,6236,1.3330000000000002,9.0,1.4,3.0,7.6,2.53,106,False
2017MIN,2017,MIN,AL,162.0,85.0,77.0,0.525,34.0,5.03,6261.0,5557.0,815.0,1444.0,286.0,31.0,206.0,781.0,95.0,28.0,593.0,1342.0,0.26,0.33399999999999996,0.434,0.768,2410.0,105.0,46.0,26.0,39.0,26.0,1147.0,104.0,4.6,6,3,42,1436.0,1487,788,734,224,483,37,1166,69,8,52,6205,1.3719999999999999,9.3,1.4,3.0,7.3,2.41,97,False
2001LAD,2001,LAD,NL,162.0,86.0,76.0,0.531,41.0,4.68,6169.0,5493.0,758.0,1399.0,264.0,27.0,206.0,714.0,89.0,42.0,519.0,1062.0,0.255,0.32299999999999995,0.425,0.748,2335.0,115.0,56.0,57.0,44.0,45.0,1075.0,99.0,4.25,3,1,46,1450.2,1387,744,685,184,524,37,1212,72,11,44,6201,1.317,8.6,1.1,3.3,7.5,2.31,94,False
2018HOU,2018,HOU,AL,162.0,103.0,59.0,0.636,36.0,4.92,6146.0,5453.0,797.0,1390.0,278.0,18.0,205.0,763.0,71.0,26.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,156.0,61.0,14.0,45.0,19.0,1052.0,106.0,3.11,3,2,46,1455.0,1164,534,503,152,435,4,1687,66,4,67,5913,1.099,7.2,0.9,2.7,10.4,3.88,134,False
2018STL,2018,STL,NL,162.0,88.0,74.0,0.5429999999999999,49.0,4.69,6200.0,5498.0,759.0,1369.0,248.0,9.0,205.0,725.0,63.0,32.0,525.0,1380.0,0.249,0.321,0.409,0.73,2250.0,92.0,80.0,46.0,48.0,40.0,1101.0,99.0,3.85,1,1,43,1455.2,1354,691,623,144,593,49,1337,67,4,63,6271,1.338,8.4,0.9,3.7,8.3,2.25,101,False
2016COL,2016,COL,NL,162.0,75.0,87.0,0.46299999999999997,47.0,5.22,6236.0,5614.0,845.0,1544.0,318.0,47.0,204.0,805.0,66.0,39.0,494.0,1330.0,0.275,0.336,0.457,0.794,2568.0,113.0,40.0,54.0,34.0,35.0,1089.0,97.0,4.92,2,2,37,1429.2,1532,860,781,181,547,38,1223,70,5,72,6289,1.454,9.6,1.1,3.4,7.7,2.24,99,False
2016WSN,2016,WSN,NL,162.0,95.0,67.0,0.586,43.0,4.71,6201.0,5490.0,763.0,1403.0,268.0,29.0,203.0,735.0,121.0,39.0,536.0,1252.0,0.256,0.326,0.426,0.7509999999999999,2338.0,102.0,64.0,48.0,63.0,49.0,1105.0,96.0,3.52,1,0,46,1459.2,1272,612,571,155,468,43,1476,57,4,47,6036,1.192,7.8,1.0,2.9,9.1,3.15,122,False
2011BOS,2011,BOS,AL,162.0,90.0,72.0,0.556,36.0,5.4,6414.0,5710.0,875.0,1600.0,352.0,35.0,203.0,842.0,102.0,42.0,578.0,1108.0,0.28,0.349,0.461,0.81,2631.0,136.0,50.0,22.0,50.0,52.0,1190.0,116.0,4.2,2,1,36,1457.1,1366,737,680,156,540,11,1213,90,7,58,6242,1.308,8.4,1.0,3.3,7.5,2.25,103,False
2001NYY,2001,NYY,AL,161.0,95.0,65.0,0.594,40.0,4.99,6233.0,5577.0,804.0,1488.0,289.0,20.0,203.0,774.0,161.0,53.0,519.0,1035.0,0.267,0.33399999999999996,0.435,0.769,2426.0,119.0,64.0,30.0,43.0,38.0,1123.0,100.0,4.04,7,3,57,1451.2,1429,713,651,158,465,29,1266,55,6,54,6174,1.305,8.9,1.0,2.9,7.8,2.72,112,False
2012MIL,2012,MIL,NL,162.0,83.0,79.0,0.512,46.0,4.79,6225.0,5557.0,776.0,1442.0,300.0,39.0,202.0,741.0,158.0,39.0,466.0,1240.0,0.259,0.325,0.43700000000000006,0.762,2426.0,111.0,90.0,76.0,35.0,35.0,1104.0,101.0,4.22,0,0,44,1453.2,1458,733,682,169,525,20,1402,31,5,57,6245,1.364,9.0,1.0,3.3,8.7,2.67,98,False
2010NYY,2010,NYY,AL,162.0,95.0,67.0,0.586,37.0,5.3,6379.0,5567.0,859.0,1485.0,275.0,32.0,201.0,823.0,103.0,30.0,662.0,1136.0,0.267,0.35,0.436,0.7859999999999999,2427.0,124.0,73.0,33.0,44.0,36.0,1228.0,108.0,4.06,3,0,39,1442.1,1349,693,651,179,540,37,1154,62,6,69,6102,1.31,8.4,1.1,3.4,7.2,2.14,107,False
2017SEA,2017,SEA,AL,162.0,78.0,84.0,0.48100000000000004,41.0,4.63,6166.0,5551.0,750.0,1436.0,281.0,17.0,200.0,714.0,89.0,35.0,487.0,1267.0,0.259,0.325,0.424,0.7490000000000001,2351.0,131.0,78.0,14.0,35.0,31.0,1084.0,103.0,4.45,1,0,39,1440.2,1399,772,713,237,490,28,1244,53,7,73,6132,1.311,8.7,1.5,3.1,7.8,2.54,94,False
2016MIN,2016,MIN,AL,162.0,59.0,103.0,0.364,42.0,4.46,6245.0,5618.0,722.0,1409.0,288.0,35.0,200.0,690.0,91.0,32.0,513.0,1426.0,0.251,0.316,0.42100000000000004,0.738,2367.0,96.0,44.0,27.0,43.0,24.0,1124.0,98.0,5.09,4,1,26,1443.0,1617,889,816,221,479,26,1191,41,7,83,6314,1.453,10.1,1.4,3.0,7.4,2.49,83,False
2012TEX,2012,TEX,AL,162.0,93.0,69.0,0.574,32.0,4.99,6216.0,5590.0,808.0,1526.0,303.0,32.0,200.0,780.0,91.0,44.0,478.0,1103.0,0.273,0.33399999999999996,0.446,0.78,2493.0,121.0,57.0,36.0,53.0,44.0,1113.0,105.0,4.02,7,2,43,1441.2,1378,707,644,175,446,15,1286,41,8,53,6067,1.265,8.6,1.1,2.8,8.0,2.88,109,False
2006NYM,2006,NYM,NL,162.0,97.0,65.0,0.599,49.0,5.15,6291.0,5558.0,834.0,1469.0,323.0,41.0,200.0,800.0,146.0,35.0,547.0,1071.0,0.264,0.33399999999999996,0.445,0.78,2474.0,114.0,62.0,77.0,47.0,63.0,1115.0,100.0,4.16,5,3,43,1461.1,1402,731,675,180,527,39,1161,62,5,37,6240,1.32,8.6,1.1,3.2,7.2,2.2,106,False
2002CHC,2002,CHC,NL,162.0,67.0,95.0,0.414,44.0,4.36,6242.0,5496.0,706.0,1351.0,259.0,29.0,200.0,676.0,63.0,21.0,585.0,1269.0,0.24600000000000002,0.321,0.413,0.7340000000000001,2268.0,117.0,44.0,78.0,39.0,52.0,1173.0,94.0,4.31,11,3,23,1441.1,1373,759,690,167,606,53,1333,58,2,44,6236,1.3730000000000002,8.6,1.0,3.8,8.3,2.2,94,False
2016CHC,2016,CHC,NL,162.0,103.0,58.0,0.64,45.0,4.99,6335.0,5503.0,808.0,1409.0,293.0,30.0,199.0,767.0,66.0,34.0,656.0,1339.0,0.256,0.34299999999999997,0.429,0.772,2359.0,107.0,96.0,42.0,37.0,45.0,1217.0,104.0,3.15,5,2,38,1459.2,1125,556,511,163,495,24,1441,63,0,80,5933,1.11,6.9,1.0,3.1,8.9,2.91,133,False
2016HOU,2016,HOU,AL,162.0,84.0,78.0,0.519,38.0,4.47,6204.0,5545.0,724.0,1367.0,291.0,29.0,198.0,689.0,102.0,44.0,554.0,1452.0,0.247,0.319,0.41700000000000004,0.735,2310.0,134.0,47.0,27.0,31.0,31.0,1086.0,103.0,4.06,2,1,44,1468.0,1441,701,663,181,453,19,1396,39,2,98,6180,1.29,8.8,1.1,2.8,8.6,3.08,97,False
2015SEA,2015,SEA,AL,162.0,76.0,86.0,0.469,43.0,4.05,6131.0,5544.0,656.0,1379.0,262.0,22.0,198.0,624.0,69.0,45.0,478.0,1336.0,0.249,0.311,0.41100000000000003,0.722,2279.0,123.0,36.0,38.0,35.0,31.0,1080.0,101.0,4.16,6,5,45,1463.0,1430,726,677,181,491,41,1283,70,5,72,6223,1.3130000000000002,8.8,1.1,3.0,7.9,2.61,92,False
2001BOS,2001,BOS,AL,161.0,82.0,79.0,0.509,39.0,4.8,6264.0,5605.0,772.0,1493.0,316.0,29.0,198.0,739.0,46.0,35.0,520.0,1131.0,0.266,0.33399999999999996,0.439,0.773,2461.0,132.0,70.0,28.0,41.0,50.0,1161.0,101.0,4.18,3,2,48,1448.1,1412,745,672,146,544,50,1259,93,7,54,6272,1.351,8.8,0.9,3.4,7.8,2.31,108,False
2000NYM,2000,NYM,NL,162.0,94.0,68.0,0.58,47.0,4.98,6328.0,5486.0,807.0,1445.0,281.0,20.0,198.0,761.0,66.0,46.0,675.0,1037.0,0.263,0.34600000000000003,0.43,0.7759999999999999,2360.0,122.0,45.0,70.0,51.0,42.0,1214.0,98.0,4.16,8,2,49,1450.1,1398,738,671,164,574,42,1164,60,7,34,6276,1.36,8.7,1.0,3.6,7.2,2.03,107,False
2017STL,2017,STL,NL,162.0,83.0,79.0,0.512,48.0,4.7,6219.0,5470.0,761.0,1402.0,284.0,28.0,196.0,728.0,81.0,31.0,593.0,1348.0,0.256,0.33399999999999996,0.426,0.76,2330.0,139.0,65.0,47.0,44.0,36.0,1118.0,99.0,4.02,3,3,43,1450.0,1393,705,647,183,493,50,1351,67,0,38,6153,1.301,8.6,1.1,3.1,8.4,2.74,106,False
2017MIA,2017,MIA,NL,162.0,77.0,85.0,0.475,43.0,4.8,6248.0,5602.0,778.0,1497.0,271.0,31.0,194.0,743.0,91.0,30.0,486.0,1282.0,0.267,0.331,0.431,0.7609999999999999,2412.0,119.0,67.0,50.0,41.0,48.0,1130.0,107.0,4.82,1,1,34,1442.2,1450,822,772,193,627,59,1202,75,3,57,6318,1.44,9.0,1.2,3.9,7.5,1.92,83,False
2016MIL,2016,MIL,NL,162.0,73.0,89.0,0.451,50.0,4.14,6061.0,5330.0,671.0,1299.0,249.0,19.0,194.0,641.0,181.0,56.0,599.0,1543.0,0.244,0.322,0.40700000000000003,0.7290000000000001,2168.0,131.0,37.0,53.0,39.0,34.0,1071.0,92.0,4.1,0,0,46,1434.2,1450,733,653,178,532,33,1175,66,2,48,6188,1.382,9.1,1.1,3.3,7.4,2.21,105,False
2012WSN,2012,WSN,NL,162.0,98.0,64.0,0.605,43.0,4.51,6221.0,5615.0,731.0,1468.0,301.0,25.0,194.0,688.0,105.0,35.0,479.0,1325.0,0.261,0.322,0.428,0.75,2401.0,110.0,41.0,50.0,36.0,43.0,1127.0,101.0,3.34,3,1,51,1468.1,1296,594,545,129,497,32,1325,47,4,62,6133,1.2209999999999999,7.9,0.8,3.0,8.1,2.67,120,False
2005CHC,2005,CHC,NL,162.0,79.0,83.0,0.488,46.0,4.34,6161.0,5584.0,703.0,1506.0,323.0,23.0,194.0,674.0,65.0,39.0,419.0,920.0,0.27,0.324,0.44,0.764,2457.0,131.0,50.0,69.0,37.0,49.0,1133.0,95.0,4.19,8,2,39,1440.0,1357,714,671,186,576,48,1256,50,7,57,6185,1.3419999999999999,8.5,1.2,3.6,7.9,2.18,105,False
2001CHC,2001,CHC,NL,162.0,88.0,74.0,0.5429999999999999,43.0,4.8,6219.0,5406.0,777.0,1409.0,268.0,32.0,194.0,748.0,67.0,36.0,577.0,1077.0,0.261,0.336,0.43,0.7659999999999999,2323.0,132.0,66.0,117.0,53.0,72.0,1156.0,101.0,4.03,8,2,41,1437.0,1357,701,643,164,550,43,1344,50,5,48,6159,1.327,8.5,1.0,3.4,8.4,2.44,103,False
2017KCR,2017,KCR,AL,162.0,80.0,82.0,0.494,40.0,4.33,6027.0,5536.0,702.0,1436.0,260.0,24.0,193.0,660.0,91.0,31.0,390.0,1166.0,0.259,0.311,0.42,0.731,2323.0,160.0,45.0,17.0,37.0,19.0,1005.0,93.0,4.63,1,1,39,1437.2,1480,791,740,196,519,24,1216,52,6,48,6218,1.39,9.3,1.2,3.2,7.6,2.34,97,False
2017COL,2017,COL,NL,162.0,87.0,75.0,0.537,41.0,5.09,6201.0,5534.0,824.0,1510.0,293.0,38.0,192.0,793.0,59.0,34.0,519.0,1408.0,0.273,0.33799999999999997,0.444,0.7809999999999999,2455.0,143.0,44.0,62.0,41.0,46.0,1088.0,90.0,4.51,1,1,47,1437.2,1453,757,721,190,532,20,1270,50,10,69,6177,1.381,9.1,1.2,3.3,8.0,2.39,112,False
2018WSN,2018,WSN,NL,162.0,82.0,80.0,0.506,53.0,4.76,6288.0,5517.0,771.0,1402.0,284.0,25.0,191.0,737.0,119.0,33.0,631.0,1289.0,0.254,0.335,0.419,0.753,2309.0,104.0,59.0,41.0,40.0,56.0,1180.0,98.0,4.04,2,1,40,1446.0,1320,682,649,198,487,37,1417,76,6,42,6087,1.25,8.2,1.2,3.0,8.8,2.91,106,False
2016ARI,2016,ARI,NL,162.0,69.0,93.0,0.426,50.0,4.64,6260.0,5665.0,752.0,1479.0,285.0,56.0,190.0,709.0,137.0,31.0,463.0,1427.0,0.261,0.32,0.43200000000000005,0.752,2446.0,117.0,50.0,43.0,38.0,43.0,1113.0,93.0,5.09,2,2,31,1451.1,1563,890,821,202,603,57,1318,57,7,69,6437,1.492,9.7,1.3,3.7,8.2,2.19,88,False
2009COL,2009,COL,NL,162.0,92.0,70.0,0.568,45.0,4.96,6241.0,5398.0,804.0,1408.0,300.0,50.0,190.0,760.0,106.0,55.0,660.0,1277.0,0.261,0.34299999999999997,0.441,0.784,2378.0,111.0,47.0,76.0,60.0,40.0,1147.0,96.0,4.24,5,2,45,1438.2,1427,715,677,141,528,51,1154,46,5,48,6171,1.359,8.9,0.9,3.3,7.2,2.19,112,False
2017SDP,2017,SDP,NL,162.0,71.0,91.0,0.43799999999999994,52.0,3.73,5954.0,5356.0,604.0,1251.0,227.0,31.0,189.0,576.0,89.0,33.0,460.0,1499.0,0.23399999999999999,0.299,0.39299999999999996,0.6920000000000001,2107.0,99.0,53.0,52.0,33.0,20.0,1037.0,83.0,4.7,2,1,45,1430.1,1417,816,747,226,554,28,1325,75,11,73,6169,1.3780000000000001,8.9,1.4,3.5,8.3,2.39,90,False
2016LAD,2016,LAD,NL,162.0,91.0,71.0,0.562,55.0,4.48,6164.0,5518.0,725.0,1376.0,272.0,21.0,189.0,680.0,45.0,26.0,525.0,1321.0,0.249,0.319,0.409,0.728,2257.0,120.0,58.0,30.0,32.0,31.0,1106.0,95.0,3.7,3,3,47,1453.1,1266,638,598,165,464,51,1510,53,5,58,6014,1.19,7.8,1.0,2.9,9.4,3.25,109,False
